Issue Type;Epic;Summary;Description;Priority;Labels;Assignee role
Epic;;EPIC 5 — Matching et discipline;Gérer automatiquement la compatibilité missions chauffeurs et les règles de sanction;Critique;mvp,backend;Développeur Full-Stack
Story;EPIC 5 — Matching et discipline;STORY 5.1 — Modèle de qualification chauffeur;En tant que plateforme je connais les qualifications valides du chauffeur;Critique;backend,database;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Créer champs permis;Ajouter les champs C CE et autres si nécessaire;Critique;backend,database;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Créer champs options ADR et Frigo;Ajouter les qualifications complémentaires;Haute;backend,database;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Créer logique qualification validée;Déduire l'état exploitable des documents;Critique;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Bloquer qualification si document invalide;Empêcher l'usage d'un document expiré ou rejeté;Critique;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Prévoir extensibilité future;Concevoir des règles ajoutables;Normale;backend,architecture;Développeur Full-Stack
Story;EPIC 5 — Matching et discipline;STORY 5.2 — Calcul de distance;En tant que plateforme je calcule la distance entre le chauffeur et la mission;Critique;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Géocoder ville chauffeur;Obtenir des coordonnées pour la localisation chauffeur;Haute;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Géocoder lieu mission;Obtenir des coordonnées pour le lieu de mission;Haute;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Calculer distance km;Mesurer la distance entre les deux points;Critique;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Définir rayon max configurable;Permettre l'ajustement métier de la distance acceptable;Haute;backend,config;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Stocker distance calculée si nécessaire;Optimiser l'affichage ou la recherche;Normale;backend,database;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Tester cas hors zone;Vérifier le rejet des missions trop éloignées;Haute;backend,quality;Développeur Full-Stack
Story;EPIC 5 — Matching et discipline;STORY 5.3 — Algorithme de matching;En tant que chauffeur je ne vois que les missions compatibles;Critique;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Exclure profils EN_ATTENTE;Ne pas afficher les missions aux profils non validés;Critique;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Exclure profils SUSPENDU;Bloquer temporairement l'accès aux missions;Critique;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Exclure profils RADIE;Bloquer définitivement l'accès aux missions;Critique;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Vérifier permis compatibles;Comparer permis chauffeur et exigences mission;Critique;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Vérifier documents valides;Contrôler la conformité des pièces;Critique;backend,compliance;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Vérifier distance compatible;Appliquer le filtre géographique;Critique;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Vérifier fenêtre priorité favoris;Filtrer selon la priorité de diffusion;Critique;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Retourner liste missions filtrées;Servir les résultats compatibles au front;Critique;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Écrire tests unitaires matching;Sécuriser le comportement métier;Haute;backend,quality;Développeur Full-Stack
Story;EPIC 5 — Matching et discipline;STORY 5.4 — Cycle mission;En tant que plateforme je trace les changements d'état d'une mission;Critique;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Passer mission de OUVERTE à POURVUE;Changer l'état après acceptation;Critique;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Associer chauffeur à mission;Enregistrer l'affectation;Critique;backend,database;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Gérer annulation entreprise;Prévoir le changement d'état côté société;Haute;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Gérer annulation chauffeur;Prévoir le changement d'état côté chauffeur;Haute;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Gérer mission terminée;Clôturer la mission après exécution;Critique;backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Gérer historique des statuts;Journaliser les transitions;Haute;backend,database;Développeur Full-Stack
Story;EPIC 5 — Matching et discipline;STORY 5.5 — Rappels mission;En tant que plateforme j'envoie les relances nécessaires avant mission;Haute;notifications,backend;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Planifier notification J-1;Créer la logique de rappel veille;Haute;backend,notifications;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Planifier notification matin J;Créer la logique de rappel jour J;Haute;backend,notifications;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Déclencher envoi automatique;Connecter les jobs au service mail;Haute;backend,notifications;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Journaliser les envois;Tracer succès et erreurs;Normale;backend,notifications;Développeur Full-Stack
Task;EPIC 5 — Matching et discipline;Gérer échec d'envoi;Prévoir reprises ou alertes;Normale;backend,notifications;Développeur Full-Stack
;;;;;;
Epic;;EPIC 6 — Back-office administrateur;Créer l'interface de pilotage exploitation conformité et contrôle;Critique;mvp,admin,frontend,backend;Développeur Full-Stack
Story;EPIC 6 — Back-office administrateur;STORY 6.1 — Dashboard administrateur;En tant qu'administrateur je vois les indicateurs clés de Vectura;Critique;admin,frontend,backend;Développeur Full-Stack
Task;EPIC 6 — Back-office administrateur;Concevoir wireframe dashboard admin;Définir la structure du centre de contrôle;Normale;ux;UI/UX Designer
Task;EPIC 6 — Back-office administrateur;Concevoir maquette dashboard admin;Créer la maquette visuelle du tableau de bord;Normale;ux,ui;UI/UX Designer
Task;EPIC 6 — Back-office administrateur;Développer KPI missions en cours;Afficher le nombre de chauffeurs en mission;Critique;admin,frontend,backend;Développeur Full-Stack
Task;EPIC 6 — Back-office administrateur;Développer KPI alertes documents;Afficher les alertes d'expiration proches;Critique;admin,frontend,backend;Développeur Full-Stack
Task;EPIC 6 — Back-office administrateur;Développer KPI nouveaux inscrits;Afficher les profils en attente d'entretien;Critique;admin,frontend,backend;Développeur Full-Stack
Task;EPIC 6 — Back-office administrateur;Développer KPI CA semaine;Afficher le chiffre d'affaires hebdomadaire;Haute;admin,frontend,backend,billing;Développeur Full-Stack
Task;EPIC 6 — Back-office administrateur;Ajouter états de chargement;Prévoir loading et fallback sur les KPI;Normale;frontend,ux;Développeur Full-Stack
Story;EPIC 6 — Back-office administrateur;STORY 6.2 — Gestion des chauffeurs;En tant qu'administrateur je peux filtrer et piloter les profils chauffeurs;Critique;admin,frontend,backend;Développeur Full-Stack
Task;EPIC 6 — Back-office administrateur;Développer tableau chauffeurs;Créer la liste principale admin;Critique;admin,frontend;Développeur Full-Stack
Task;EPIC 6 — Back-office administrateur;Ajouter colonnes nom prénom téléphone;Afficher les infos principales;Critique;admin,frontend;Développeur Full-Stack
Task;EPIC 6 — Back-office administrateur;Ajouter colonne statut;Afficher validé en attente suspendu radié;Critique;admin,frontend;Développeur Full-Stack
Task;EPIC 6 — Back-office administrateur;Ajouter colonne qualifications;Afficher C CE ADR Frigo;Haute;admin,frontend;Développeur Full-Stack
Task;EPIC 6 — Back-office administrateur;Ajouter colonne note moyenne;Afficher la moyenne des évaluations;Normale;admin,frontend,backend;Développeur Full-Stack
Task;EPIC 6 — Back-office administrateur;Ajouter filtres par statut;Faciliter le tri opérationnel;Haute;admin,frontend;Développeur Full-Stack
Task;EPIC 6 — Back-office administrateur;Ajouter recherche par nom téléphone;Faciliter l'accès rapide à un profil;Haute;admin,frontend;Développeur Full-Stack
Story;EPIC 6 — Back-office administrateur;STORY 6.3 — Validation documents;En tant qu'administrateur je peux contrôler les documents chauffeurs;Critique;admin,backend,compliance;Développeur Full-Stack
Task;EPIC 6 — Back-office administrateur;Développer vue détail chauffeur;Afficher les détails d'un dossier;Critique;admin,frontend;Développeur Full-Stack
Task;EPIC 6 — Back-office administrateur;Afficher documents uploadés;Présenter les pièces envoyées;Critique;admin,frontend,backend;Développeur Full-Stack
Task;EPIC 6 — Back-office administrateur;Afficher dates d'expiration;Montrer les échéances documentaires;Critique;admin,frontend,backend;Développeur Full-Stack
Task;EPIC 6 — Back-office administrateur;Ajouter bouton valider document;Permettre la validation individuelle;Critique;admin,frontend,backend;Développeur Full-Stack
Task;EPIC 6 — Back-office administrateur;Ajouter bouton rejeter document;Permettre le rejet motivé;Critique;admin,frontend,backend;Développeur Full-Stack
Task;EPIC 6 — Back-office administrateur;Journaliser validation rejet;Tracer l'action et son auteur;Haute;admin,backend,security;Développeur Full-Stack
Task;EPIC 6 — Back-office administrateur;Notifier chauffeur après action;Informer le chauffeur du résultat;Haute;notifications,backend;Développeur Full-Stack
Story;EPIC 6 — Back-office administrateur;STORY 6.4 — Suivi des missions;En tant qu'administrateur je peux surveiller l'exploitation des missions;Haute;admin,frontend,backend;Développeur Full-Stack
Task;EPIC 6 — Back-office administrateur;Développer liste missions non pourvues;Afficher les missions urgentes à couvrir;Critique;admin,frontend,backend;Développeur Full-Stack
Task;EPIC 6 — Back-office administrateur;Développer liste missions à venir;Afficher les missions planifiées;Haute;admin,frontend,backend;Développeur Full-Stack
Task;EPIC 6 — Back-office administrateur;Développer historique missions;Afficher les missions passées et leurs statuts;Normale;admin,frontend,backend;Développeur Full-Stack
Task;EPIC 6 — Back-office administrateur;Ajouter filtres date et statut;Faciliter le pilotage quotidien;Normale;admin,frontend;Développeur Full-Stack
Task;EPIC 6 — Back-office administrateur;Ajouter accès détail mission;Permettre la consultation détaillée;Normale;admin,frontend;Développeur Full-Stack
Story;EPIC 6 — Back-office administrateur;STORY 6.5 — Conformité vigilance;En tant qu'administrateur je peux suivre la conformité URSSAF;Critique;admin,compliance;Développeur Full-Stack
Task;EPIC 6 — Back-office administrateur;Identifier attestations URSSAF de plus de 6 mois;Détecter automatiquement les dossiers non conformes;Critique;backend,compliance;Développeur Full-Stack
Task;EPIC 6 — Back-office administrateur;Développer vue conformité;Créer l'écran de suivi vigilance;Haute;admin,frontend;Développeur Full-Stack
Task;EPIC 6 — Back-office administrateur;Ajouter bouton relance mail type;Permettre l'envoi rapide d'une relance;Haute;admin,notifications;Développeur Full-Stack
Task;EPIC 6 — Back-office administrateur;Journaliser relances conformité;Tracer les envois et leurs dates;Normale;backend,compliance;Développeur Full-Stack
Task;EPIC 6 — Back-office administrateur;Bloquer visibilité missions si non conforme;Appliquer la règle métier décidée;Critique;backend,compliance;Développeur Full-Stack
;;;;;;
Epic;;EPIC 7 — Notifications et automatisation;Automatiser les alertes documents missions et sanctions;Haute;mvp,notifications,backend;Admin Système
Story;EPIC 7 — Notifications et automatisation;STORY 7.1 — Service e-mail;En tant que plateforme je peux envoyer des messages transactionnels;Haute;notifications,infra,backend;Admin Système
Task;EPIC 7 — Notifications et automatisation;Choisir fournisseur SMTP API;Sélectionner le service d'envoi;Haute;notifications,infra;Admin Système
Task;EPIC 7 — Notifications et automatisation;Configurer service mail;Brancher l'application au fournisseur retenu;Critique;notifications,infra;Admin Système
Task;EPIC 7 — Notifications et automatisation;Créer template expiration document;Préparer le modèle de mail dédié;Haute;notifications,backend;Développeur Full-Stack
Task;EPIC 7 — Notifications et automatisation;Créer template rappel mission;Préparer le modèle de rappel;Haute;notifications,backend;Développeur Full-Stack
Task;EPIC 7 — Notifications et automatisation;Créer template relance conformité;Préparer le modèle de conformité;Haute;notifications,backend,compliance;Développeur Full-Stack
Task;EPIC 7 — Notifications et automatisation;Créer template validation rejet document;Préparer le modèle de retour admin;Haute;notifications,backend;Développeur Full-Stack
Story;EPIC 7 — Notifications et automatisation;STORY 7.2 — Alertes documents;En tant que plateforme je relance avant expiration des documents;Critique;notifications,backend,compliance;Développeur Full-Stack
Task;EPIC 7 — Notifications et automatisation;Créer job quotidien documents;Planifier l'analyse quotidienne des échéances;Critique;backend,notifications;Développeur Full-Stack
Task;EPIC 7 — Notifications et automatisation;Détecter expirations à J-30;Identifier les documents proches d'expiration;Critique;backend,compliance;Développeur Full-Stack
Task;EPIC 7 — Notifications et automatisation;Détecter expirations à J-7;Identifier les urgences proches;Haute;backend,compliance;Développeur Full-Stack
Task;EPIC 7 — Notifications et automatisation;Envoyer notifications documents;Envoyer les relances au chauffeur;Critique;notifications,backend;Développeur Full-Stack
Task;EPIC 7 — Notifications et automatisation;Journaliser résultats alertes;Tracer les envois et retours;Normale;backend,notifications;Développeur Full-Stack
Task;EPIC 7 — Notifications et automatisation;Empêcher doublons excessifs;Éviter les relances répétées non contrôlées;Normale;backend,notifications;Développeur Full-Stack
Story;EPIC 7 — Notifications et automatisation;STORY 7.3 — Relances mission;En tant que plateforme je rappelle les missions avant leur démarrage;Haute;notifications,backend;Développeur Full-Stack
Task;EPIC 7 — Notifications et automatisation;Créer job J-1;Planifier la relance la veille;Haute;backend,notifications;Développeur Full-Stack
Task;EPIC 7 — Notifications et automatisation;Créer job matin J;Planifier la relance du jour même;Haute;backend,notifications;Développeur Full-Stack
Task;EPIC 7 — Notifications et automatisation;Filtrer missions concernées;Sélectionner les bonnes missions;Haute;backend;Développeur Full-Stack
Task;EPIC 7 — Notifications et automatisation;Envoyer mail chauffeur;Notifier le chauffeur;Haute;notifications,backend;Développeur Full-Stack
Task;EPIC 7 — Notifications et automatisation;Envoyer mail entreprise si besoin;Notifier la société selon le scénario;Normale;notifications,backend;Développeur Full-Stack
Task;EPIC 7 — Notifications et automatisation;Journaliser succès et échecs;Conserver l'historique des envois;Normale;backend,notifications;Développeur Full-Stack
Story;EPIC 7 — Notifications et automatisation;STORY 7.4 — Sanctions automatiques;En tant que plateforme j'applique automatiquement les sanctions liées aux annulations;Critique;backend,compliance;Développeur Full-Stack
Task;EPIC 7 — Notifications et automatisation;Créer job contrôle annulations tardives;Détecter les annulations hors délai;Critique;backend;Développeur Full-Stack
Task;EPIC 7 — Notifications et automatisation;Appliquer suspension 7 jours;Mettre à jour le compte du chauffeur;Critique;backend;Développeur Full-Stack
Task;EPIC 7 — Notifications et automatisation;Appliquer radiation au troisième cas;Déclencher la radiation automatique;Critique;backend;Développeur Full-Stack
Task;EPIC 7 — Notifications et automatisation;Notifier chauffeur sanctionné;Envoyer un mail explicatif;Haute;notifications,backend;Développeur Full-Stack
Task;EPIC 7 — Notifications et automatisation;Afficher sanction dans back office;Rendre visible la mesure côté admin;Haute;admin,backend,frontend;Développeur Full-Stack
;;;;;;
Epic;;EPIC 8 — Facturation et export comptable;Automatiser la génération de factures et les exports de suivi financier;Haute;mvp,billing,backend,admin;Développeur Full-Stack
Story;EPIC 8 — Facturation et export comptable;STORY 8.1 — Données financières mission;En tant que plateforme je calcule les montants liés à chaque mission;Critique;billing,backend;Développeur Full-Stack
Task;EPIC 8 — Facturation et export comptable;Définir modèle montant facturé entreprise;Spécifier la donnée facturable côté société;Critique;billing,backend;Développeur Full-Stack
Task;EPIC 8 — Facturation et export comptable;Définir modèle montant reversé chauffeur;Spécifier la donnée de reversement;Haute;billing,backend;Développeur Full-Stack
Task;EPIC 8 — Facturation et export comptable;Définir calcul marge;Calculer l'écart entre facture et reversement;Critique;billing,backend;Développeur Full-Stack
Task;EPIC 8 — Facturation et export comptable;Gérer cas mission annulée;Définir le comportement financier des annulations;Haute;billing,backend;Développeur Full-Stack
Task;EPIC 8 — Facturation et export comptable;Gérer cas mission validée;Définir le comportement financier des missions exécutées;Critique;billing,backend;Développeur Full-Stack
Story;EPIC 8 — Facturation et export comptable;STORY 8.2 — Facture hebdomadaire;En tant qu'entreprise je reçois une facture hebdomadaire récapitulative;Critique;billing,backend;Développeur Full-Stack
Task;EPIC 8 — Facturation et export comptable;Créer job hebdomadaire facturation;Planifier la génération des factures;Critique;billing,backend;Développeur Full-Stack
Task;EPIC 8 — Facturation et export comptable;Regrouper missions validées par entreprise;Consolider les missions facturables;Critique;billing,backend;Développeur Full-Stack
Task;EPIC 8 — Facturation et export comptable;Générer numéro de facture;Créer un identifiant unique de facture;Haute;billing,backend;Développeur Full-Stack
Task;EPIC 8 — Facturation et export comptable;Générer PDF facture;Produire le document final;Critique;billing,backend;Développeur Full-Stack
Task;EPIC 8 — Facturation et export comptable;Stocker facture;Sauvegarder le PDF généré;Haute;billing,backend;Développeur Full-Stack
Task;EPIC 8 — Facturation et export comptable;Rendre facture téléchargeable;Exposer le document à l'utilisateur concerné;Haute;billing,frontend,backend;Développeur Full-Stack
Story;EPIC 8 — Facturation et export comptable;STORY 8.3 — Export comptable;En tant qu'administrateur je peux exporter les données de facturation;Haute;billing,admin;Développeur Full-Stack
Task;EPIC 8 — Facturation et export comptable;Générer export CSV;Créer le fichier comptable CSV;Haute;billing,backend;Développeur Full-Stack
Task;EPIC 8 — Facturation et export comptable;Générer export Excel;Créer le fichier comptable Excel;Normale;billing,backend;Développeur Full-Stack
Task;EPIC 8 — Facturation et export comptable;Inclure facture mission dates montants;Définir les colonnes utiles à la comptabilité;Haute;billing,backend;Développeur Full-Stack
Task;EPIC 8 — Facturation et export comptable;Tester format comptable;Vérifier l'exploitabilité par le comptable;Normale;billing,quality;Développeur Full-Stack
Task;EPIC 8 — Facturation et export comptable;Ajouter téléchargement admin;Permettre l'export côté back office;Haute;billing,admin,frontend;Développeur Full-Stack
Task;EPIC 8 — Facturation et export comptable;Ajouter téléchargement entreprise si besoin;Prévoir l'accès société selon périmètre retenu;Normale;billing,frontend;Développeur Full-Stack
Story;EPIC 8 — Facturation et export comptable;STORY 8.4 — Marge admin;En tant qu'administrateur je peux visualiser la marge générée;Normale;billing,admin;Développeur Full-Stack
Task;EPIC 8 — Facturation et export comptable;Calculer marge par mission;Produire la marge unitaire;Normale;billing,backend;Développeur Full-Stack
Task;EPIC 8 — Facturation et export comptable;Calculer marge hebdomadaire;Produire l'agrégat sur la semaine;Normale;billing,backend;Développeur Full-Stack
Task;EPIC 8 — Facturation et export comptable;Afficher marge dans dashboard admin;Exposer l'indicateur dans le back office;Normale;billing,admin,frontend;Développeur Full-Stack
Task;EPIC 8 — Facturation et export comptable;Prévoir filtre par période;Permettre l'analyse temporelle;Normale;billing,frontend,backend;Développeur Full-Stack
;;;;;;
Epic;;EPIC 9 — QA recette et lancement;Tester stabiliser et déployer le MVP Vectura;Critique;mvp,qa,deploy;Toi / PO
Story;EPIC 9 — QA recette et lancement;STORY 9.1 — QA fonctionnelle;En tant qu'équipe projet nous validons les parcours métier clés;Critique;qa;Toi / PO
Task;EPIC 9 — QA recette et lancement;Tester inscription chauffeur;Vérifier le parcours complet d'inscription;Critique;qa,frontend,backend;Toi / PO
Task;EPIC 9 — QA recette et lancement;Tester inscription entreprise;Vérifier le parcours société;Critique;qa,frontend,backend;Toi / PO
Task;EPIC 9 — QA recette et lancement;Tester login logout;Vérifier les accès et déconnexions;Critique;qa,security;Toi / PO
Task;EPIC 9 — QA recette et lancement;Tester upload documents;Vérifier le dépôt et la validation de fichiers;Critique;qa,compliance;Toi / PO
Task;EPIC 9 — QA recette et lancement;Tester validation admin;Vérifier les actions du back office;Critique;qa,admin;Toi / PO
Task;EPIC 9 — QA recette et lancement;Tester création mission;Vérifier la publication côté entreprise;Critique;qa;Toi / PO
Task;EPIC 9 — QA recette et lancement;Tester matching;Vérifier la cohérence des missions visibles;Critique;qa;Toi / PO
Task;EPIC 9 — QA recette et lancement;Tester annulation tardive;Vérifier suspension et compteur;Critique;qa,compliance;Toi / PO
Task;EPIC 9 — QA recette et lancement;Tester facturation;Vérifier calculs et génération;Haute;qa,billing;Toi / PO
Task;EPIC 9 — QA recette et lancement;Tester exports;Vérifier téléchargement et format;Normale;qa,billing;Toi / PO
Story;EPIC 9 — QA recette et lancement;STORY 9.2 — QA sécurité;En tant qu'équipe projet nous validons les protections minimales du produit;Critique;qa,security;Admin Système
Task;EPIC 9 — QA recette et lancement;Tester accès non autorisés;Vérifier que chaque rôle reste à sa place;Critique;qa,security;Admin Système
Task;EPIC 9 — QA recette et lancement;Tester rôles et permissions;Vérifier les habilitations fonctionnelles;Critique;qa,security;Admin Système
Task;EPIC 9 — QA recette et lancement;Tester upload malveillant;Vérifier les contrôles de sécurité;Critique;qa,security;Admin Système
Task;EPIC 9 — QA recette et lancement;Tester erreurs API;Vérifier les retours et logs;Haute;qa,backend;Admin Système
Task;EPIC 9 — QA recette et lancement;Tester limites taille fichier;Vérifier le contrôle anti abus;Haute;qa,security;Admin Système
Task;EPIC 9 — QA recette et lancement;Tester journalisation incidents;Vérifier la traçabilité sécurité;Normale;qa,security,infra;Admin Système
Story;EPIC 9 — QA recette et lancement;STORY 9.3 — Préproduction;En tant qu'équipe projet nous validons l'environnement de staging avant production;Critique;deploy,infra;Admin Système
Task;EPIC 9 — QA recette et lancement;Déployer staging;Créer la préproduction complète;Critique;infra,deploy;Admin Système
Task;EPIC 9 — QA recette et lancement;Injecter données de test;Préparer un jeu de test réaliste;Haute;infra,qa;Admin Système
Task;EPIC 9 — QA recette et lancement;Vérifier mails automatiques;Contrôler les notifications avant production;Haute;notifications,qa;Admin Système
Task;EPIC 9 — QA recette et lancement;Vérifier cron jobs;Contrôler les tâches planifiées;Critique;infra,qa;Admin Système
Task;EPIC 9 — QA recette et lancement;Vérifier sauvegardes;Contrôler la stratégie de backup;Critique;infra,security;Admin Système
Task;EPIC 9 — QA recette et lancement;Vérifier performance minimale;Contrôler la tenue de la plateforme;Normale;infra,performance;Admin Système
Story;EPIC 9 — QA recette et lancement;STORY 9.4 — Production;En tant qu'équipe projet nous mettons en ligne le MVP;Critique;deploy,infra;Admin Système
Task;EPIC 9 — QA recette et lancement;Déployer production;Mettre en ligne la plateforme;Critique;infra,deploy;Admin Système
Task;EPIC 9 — QA recette et lancement;Configurer domaine final;Brancher le nom de domaine officiel;Critique;infra;Admin Système
Task;EPIC 9 — QA recette et lancement;Activer SSL final;Sécuriser l'accès HTTPS;Critique;infra,security;Admin Système
Task;EPIC 9 — QA recette et lancement;Exécuter migrations production;Mettre à jour la base de prod;Critique;infra,database;Admin Système
Task;EPIC 9 — QA recette et lancement;Vérifier monitoring;Confirmer la supervision après mise en ligne;Haute;infra,monitoring;Admin Système
Task;EPIC 9 — QA recette et lancement;Vérifier disponibilité publique;Tester le service côté utilisateur réel;Critique;infra,qa;Toi / PO
Story;EPIC 9 — QA recette et lancement;STORY 9.5 — Stabilisation;En tant qu'équipe projet nous corrigeons et priorisons l'après lancement;Haute;qa,product;Toi / PO
Task;EPIC 9 — QA recette et lancement;Corriger bugs post lancement;Traiter les incidents des premiers jours;Critique;qa,bugfix;Développeur Full-Stack
Task;EPIC 9 — QA recette et lancement;Suivre erreurs critiques;Analyser les erreurs prioritaires;Critique;monitoring,qa;Admin Système
Task;EPIC 9 — QA recette et lancement;Ajuster UX selon retours terrain;Améliorer les écrans selon usage réel;Normale;ux,product;UI/UX Designer
Task;EPIC 9 — QA recette et lancement;Ajuster règles métier si besoin;Faire évoluer les règles opérationnelles;Normale;product,backend;Toi / PO
Task;EPIC 9 — QA recette et lancement;Prioriser V1 après MVP;Préparer la roadmap après lancement;Normale;product;Toi / PO
